,Book_Name,book_id,guten_genre,Author_Name,FileNo
961,Alice's Adventures in Wonderland,pg11CarolAlice.epub,Literary,Carroll| Lewis,11
962,Through the Looking-Glass,pg12CarolGlassLook.epub,Literary,Carroll| Lewis,12
995,A Tale of Two Cities,pg98DickensTaleCities.epub,Literary,Dickens| Charles,98
958,Persuasion,pg105JaneAusPersuatn.epub,Literary,Austen| Jane,105
959,Return of Sherlock Holmes,pg108DoyleReturnSherlk.epub,Detective and Mystery,Connan| Doyle,108
967,Mansfield Park,pg141JaneAusMansPark.epub,Literary,Austen| Jane,141
968,Emma,pg158JaneAustenEmma.epub,Literary,Austen| Jane,158
969,Sense and Sensibility,pg161SJaneAusSensSensi.epub,Literary,Austen| Jane,161
376,The Count's Millions,pg305.epub,Detective and Mystery,Gaboriau| Emile,305
741,Tales and Fantasies,pg426.epub,Literary,Stevenson| Robert Louis,426
834,Desert Gold,pg502.epub,Western Stories,Grey| Zane,502
841,Margret Howth: A Story of To-day,pg515.epub,Literary,Davis| Rebecca Harding,515
862,Youth- a Narrative,pg525.epub,Sea and Adventure,Conrad| Joseph,525
988,Tales of Terror and Mystery,pg537DoyleTerrorTales.epub,Detective and Mystery,Connan| Doyle,537
866,Baron Trigault's Vengeance,pg547.epub,Detective and Mystery,Gaboriau| Emile,547
873,Danny's Own Story,pg587.epub,Humorous and Wit and Satire,Marquis| Don,587
989,Sylvie and Bruno,pg620CarolBruno.epub,Literary,Carroll| Lewis,620
897,Creatures That Once Were Men,pg681.epub,Literary,Gorky| Maksim,681
906,A Psychological Counter-Current in Recent Fiction,pg726.epub,Literary,Howells| William Dean,726
990,Oliver Twist,pg730DickensOliverTw.epub,Literary,Dickens| Charles,730
991,David Copperfield,pg766DickensDavidCopfld.epub,Literary,Dickens| Charles,766
992,Hard Times,pg786DickensHardTimes.epub,Literary,Dickens| Charles,786
993,Memoirs of Shelock Holmes,pg834DoyleMemoirsSherlk.epub,Detective and Mystery,Connan| Doyle,834
1,The Pupil,pg1032.epub,Literary,James| Henry,1032
15,The Jolly Corner,pg1190.epub,Ghost and Horror,James| Henry,1190
16,The Coxon Fund,pg1193.epub,Literary,James| Henry,1193
20,The Adventures of Jimmie Dale,pg1218.epub,Detective and Mystery,Packard| Frank L.,1218
29,A Simple Soul,pg1253.epub,Literary,Flaubert| Gustave,1253
31,The Autobiography of a Slander,pg1273.epub,Literary,Lyall| Edna,1273
963,Pride and Prejudice,pg1342JaneAustenPP.epub,Literary,Austen| Jane,1342
50,The Seven Poor Travellers,pg1392.epub,Christmas Stories,Dickens| Charles,1392
966,Great Expectations,pg1400DickensGreatExp.epub,Literary,Dickens| Charles,1400
56,Going into Society,pg1422.epub,Literary,Dickens| Charles,1422
115,The Foolish Virgin,pg1634.epub,Literary,Dixon| Thomas,1634
141,The Vanished Messenger,pg1699.epub,Detective and Mystery,Oppenheim| E. Phillips,1699
156,The Red Seal,pg1747.epub,Literary,Lincoln| Natalie Sumner,1747
157,Other People's Money,pg1748.epub,Detective and Mystery,Gaboriau| Emile,1748
168,Bucky O'Connor: A Tale of the Unfenced Border,pg1809.epub,Western Stories,Raine| William MacLeod,1809
172,The Case of the Lamp That Went Out,pg1832.epub,Detective and Mystery,Groner| Auguste,1832
173,The Case of the Registered Letter,pg1833.epub,Detective and Mystery,Groner| Auguste,1833
175,The Case of the Pocket Diary Found in the Snow,pg1834.epub,Detective and Mystery,Groner| Auguste,1834
176,The Case of the Pool of Blood in the Pastor's Study,pg1835.epub,Detective and Mystery,Groner| Auguste,1835
177,The Case of the Golden Bullet,pg1836.epub,Detective and Mystery,Groner| Auguste,1836
181,The Vision Splendid,pg1846.epub,Western Stories,Raine| William MacLeod,1846
184,The Yellow Crayon,pg1849.epub,Detective and Mystery,Oppenheim| E. Phillips,1849
185,The Woman in the Alcove,pg1851.epub,Detective and Mystery,Green| Anna Katharine,1851
187,Initials Only,pg1857.epub,Detective and Mystery,Green| Anna Katharine,1857
191,Painted Windows,pg1875.epub,Literary,Peattie| Elia Wilkinson,1875
192,A Millionaire of Yesterday,pg1878.epub,Detective and Mystery,Oppenheim| E. Phillips,1878
195,The Bittermeads Mystery,pg1888.epub,Detective and Mystery,Punshon| E. R.,1888
197,The Seventh Man,pg1897.epub,Western Stories,Brand| Max,1897
211,Sight Unseen,pg1960.epub,Detective and Mystery,Rinehart| Mary Roberts,1960
212,The Confession,pg1963.epub,Detective and Mystery,Rinehart| Mary Roberts,1963
971,The Sign of Four,pg2097DoyleSignFour.epub,Detective and Mystery,Connan| Doyle,2097
228,Phyllis of Philistia,pg2155.epub,Literary,Moore| Frank Frankfort,2155
261,Havoc,pg2287.epub,Detective and Mystery,Oppenheim| E. Phillips,2287
295,Burlesques,pg2675.epub,Literary,Lynch| Lawrence L.,2675
978,Moby Dick,pg2701HermanMobyDick.epub,Sea and Adventure,Melville| Herman,2701
979,The Hound of the Baskervilles,pg2852DoyleHound.epub,Detective and Mystery,Connan| Doyle,2852
611,Simon the Jester,pg3828.epub,Humorous and Wit and Satire,Locke| William John,3828
984,Omoo Adventures in the South Seas,pg4045HermanOmmo.epub,Sea and Adventure,Melville| Herman,4045
666,The Garden of Survival,pg4046.epub,Ghost and Horror,Blackwood| Algernon,4046
680,The Adventures of Peregrine Pickle,pg4084.epub,Literary,Smollett| T.,4084
797,The Good Time Coming,pg4632.epub,Literary,Arthur| T. S.,4632
798,Uncle William: The Man Who Was Shif'less,pg4634.epub,Literary,Lee| Jennette,4634
802,God's Good Man: A Simple Love Story,pg4653.epub,Love and Romance,Corelli| Marie,4653
805,Outpost,pg4676.epub,Literary,Austin| Jane G.,4676
808,When Egypt Went Broke: A Novel,pg4733.epub,Literary,Day| Holman,4733
810,At the Villa Rose,pg4745.epub,Detective and Mystery,Mason| A. E. W.,4745
