,index,ID,genre,book_lenght,book_sen,book_word,lenght_book,number_sen,number_word,number_of_stop_words,number_of_foreignwords,count_dial_break,noun,verb,adj,ProperNoun,num,Puch,she,he,she_he_ratio,period,comma,colon,semi_colon,exl,q
0,114,214,Allegories,337103,4179,73579,0.006205323586429374,0.00650974124596354,0.0061440844972570855,0.3728237676510961,6.795417170660107e-05,9,0.18615365797306296,0.1546365131355414,0.06452928145258838,0.0,0.005653787085989209,0.056796096712377175,1722,2433,0.7077681874229347,0.045705975889859876,0.06870166759537367,0.003261800241916851,0.010492124111499204,0.005653787085989209,0.005653787085989209
1,315,387,Sea and Adventure,50959,498,10839,0.0009380429264671465,0.000775748059461556,0.0009050915596266537,0.4001291632069379,0.0,9,0.1895008764646185,0.15554940492665376,0.06365900913368391,0.0,0.007288495248639173,0.046037457330011994,31,268,0.11567164179104478,0.045852938462957835,0.058400221422640466,0.0007380754682166251,0.0066426792139496265,0.0005535566011624688,0.0011071132023249377
2,100,200,Allegories,140074,1359,30962,0.002578453754625465,0.0021169510297354512,0.0025854271491060478,0.40349460629158324,0.0,77,0.1807376784445449,0.15609456753439702,0.059298494929268135,0.0,0.0050384342096763774,0.04389251340352691,649,608,1.0674342105263157,0.0375621729862412,0.06633938376073897,0.001873264001033525,0.007170079452231768,0.0036173373813061173,0.0029390866223112204
3,211,311,Love and Romance,584889,6841,132627,0.010766517969709823,0.010656410591920693,0.011074783492813378,0.3653554706055328,6.785948562509896e-05,391,0.1636092198421136,0.16487593024044878,0.05979174677855942,0.0,0.0030989165102128526,0.051588288960769675,2932,1560,1.8794871794871795,0.049597744049100105,0.05989730597842068,0.0016814072549330076,0.005149780964660288,0.0023675420540312303,0.0048180234793820265
4,151,251,Ghost and Horror,126433,1040,26347,0.002327352995977565,0.0016200361081124867,0.0022000597215133724,0.383535127338976,7.590997077466125e-05,15,0.17220176870231904,0.14324211485178578,0.07367062663680875,0.0,0.0031882187725357724,0.03996659961285915,414,63,6.571428571428571,0.04528029756708544,0.08186890348047215,0.002618893991725813,0.0073253121797548105,0.0008350096785212737,0.0007970546931339431
5,83,183,Christmas Stories,35681,514,8444,0.0006568086041577396,0.0008006716918940559,0.0007051013128044528,0.37801989578398865,0.0,28,0.16283751776409286,0.16200852676456656,0.05281856939838939,0.0,0.004500236854571293,0.060990052108005684,263,185,1.4216216216216215,0.04997631454287068,0.06371387967787778,0.0011842728564661299,0.006987209853150165,0.004500236854571293,0.006513500710563714
6,178,278,Humorous and Wit and Satire,293900,3139,65817,0.005410051533363967,0.004889705137851053,0.005495932390437076,0.417597277299178,6.077457191910905e-05,120,0.15395718431408298,0.173602564686935,0.05161280520230336,0.0,0.004785997538629837,0.047692845313520825,440,1620,0.2716049382716049,0.04624944923044198,0.057705456037194035,0.0014130087971192854,0.0025221447346430253,0.0020055608733305984,0.00416305817645897
7,204,304,Humorous and Wit and Satire,590333,9418,131131,0.010866730016486392,0.01467067314058019,0.01094986265387976,0.3328503557511191,0.00012964135101539682,202,0.19559829483493604,0.16407256865272132,0.050735524017966764,0.0,0.004156149194317133,0.07206533924091175,2424,3955,0.6128950695322377,0.06865653430538926,0.04606843538141248,0.0033859270500491874,0.012293050460989392,0.007755603175450504,0.006238036772387917
8,520,393,Sea and Adventure,438437,3474,97414,0.008070659285925475,0.005411543691906518,0.008134384093502246,0.3891021824378426,0.00045168045660787975,126,0.184388280945244,0.1441476584474511,0.0555464306978463,0.0,0.004352557127312296,0.035662225142176686,794,2513,0.3159570234779148,0.021711458311946947,0.0860348615188782,9.238918430615722e-05,0.003941938530396042,0.010224403063214734,0.003746894696860821
9,6,106,Detective and Mystery,305006,3569,67256,0.005614488526659442,0.005559527759474485,0.005616093544999559,0.37946056857380756,8.921137147615082e-05,81,0.16929344593790888,0.17421493993100987,0.05774949446889497,0.0,0.005085048174140597,0.05306589746639705,854,1397,0.6113099498926271,0.04841203758772451,0.05437433091471393,0.00023789699060306887,0.0017693588676103247,0.0009664565243249673,0.004564648507196384
